FID,Search_Center,tweet_id,tweet_datetime,tweet_keyword,text,user_name,user_id,to_user,to_user_id,in_reply_to_tweet_id,lang,location,geo,tweet_datetime_local,lng,lat,accuracy
1478,Washington_DC,277053711707148288,12/7/2012 14:15,Ford Fusion,For more information on The Ford Fusion Street Chic Tour visit http://t.co/A34FOsRF.....Thanks!!!,DFSWDC,54257449,,,,en,"Washington, DC",,12/7/2012 9:15,-77.0363658,38.8951118,4
1479,Washington_DC,278621289109921794,12/11/2012 22:04,Ford Fusion,"""Oh my gosh! Is that Santa behind us?! He drives a ford fusion!""- @jenessahubbard",carmenLhill,139287401,,,,en,Washington ,,12/11/2012 17:04,-77.0363658,38.8951118,4
1480,Washington_DC,278565166965219329,12/11/2012 18:21,Ford Fusion,"Ford Fusion Named 2013 ""Green Car of the Year"" http://t.co/nF1XOpFU @ford",biggreenpurse,44904933,,,,en,"Washington, D.C.",,12/11/2012 13:21,-77.0363658,38.8951118,4
1481,Washington_DC,278563818945253376,12/11/2012 18:16,Ford Fusion,"Are you in the market for a new car in 2013? Then you should check out the ""Best Car to Buy in 2013"": http://t.co/MIsr5BW7 #Ford",koonsauto,51083157,,,,en,"Washington, D.C.",,12/11/2012 13:16,-77.0363658,38.8951118,4
1482,Washington_DC,278559293073149952,12/11/2012 17:58,Ford Fusion,Recall recap: 2013 Ford Escape and Fusion Vehicles and Jutol and Scan Gas ...,inrikiu,479322563,,,,en,Arlington,,12/11/2012 12:58,-97.1080656,32.735687,4
1483,Washington_DC,278537972373147650,12/11/2012 16:33,Ford Fusion,First look at the 2013 #Ford Fusion http://t.co/J84KW1bs,TedBrittFord,126337431,,,,en,"Fairfax, VA",,12/11/2012 11:33,-77.3063733,38.8462236,4
1484,Washington_DC,278489889828392960,12/11/2012 13:22,Ford Fusion,Ford Motor (NYSE:F) unveils the cause of overheating in the 2013 Fusion sedans http://t.co/0fgIVK8e,PotentialTrader,233899465,,,,en,Washington,,12/11/2012 8:22,-77.0363658,38.8951118,4
1485,Washington_DC,278482772086116353,12/11/2012 12:54,Ford Fusion,I see a Ford fusion and a ugly ass Nissan versa in the car.. simply means #TheRebelsAreBack,D_Go13,266801218,,,,en,"Alexandria, VA",,12/11/2012 7:54,-77.0469214,38.8048355,4
1486,Washington_DC,278458639059124224,12/11/2012 11:18,Ford Fusion,"@Ford blames coolant system for Escape, Fusion fires http://t.co/SqWcEwIv #failuretolaunch",BrawnyladDC,106288017,Ford,15676492,,en,"Washington, D.C. ",,12/11/2012 6:18,-77.0363658,38.8951118,4
1487,Washington_DC,278314129616424961,12/11/2012 1:43,Ford Fusion,Ford Fusion Faces Another Recall http://t.co/GvjlKMFk,gblawyers,45650602,,,,en,"Silver Spring, MD",,12/10/2012 20:43,-77.026088,38.9906657,4
1488,Washington_DC,278246622234816512,12/10/2012 21:15,Ford Fusion,"RT @davidshepardson: Ford says it has software fix for 2013 Escape, Fusion engine fire risks. Dealers will begin repairing vehicles next...",OhioSLO,272595058,,,,en,Bethesda MD,,12/10/2012 16:15,-77.0947092,38.984652,4
1489,Washington_DC,278237862678372353,12/10/2012 20:40,Ford Fusion,"RT @JLaVigne: Welcome to the family, 2006 Ford Fusion SEL. Nothing will ever compare to the Ranger though :(",B_Hallaz,469005769,,,,en,"Fairfax, VA",,12/10/2012 15:40,-77.3063733,38.8462236,4
1490,Washington_DC,278233192819986432,12/10/2012 20:22,Ford Fusion,"Software upgrade to fix Fusion, Escape 1.6-liter engine overheating problem, Ford says. $F http://t.co/o8ygn3BR",TMFBreaking,872394470,,,,en,"Alexandria, Va.",,12/10/2012 15:22,-77.0469214,38.8048355,4
1491,Washington_DC,278225717215502336,12/10/2012 19:52,Ford Fusion,"Ford blames coolant system for Escape, Fusion fires http://t.co/NsWsyXXT via @USATODAY",craasch,5931862,,,,en,"Washington, D.C. ",,12/10/2012 14:52,-77.0363658,38.8951118,4
1492,Washington_DC,278224391052095488,12/10/2012 19:47,Ford Fusion,"Welcome to the family, 2006 Ford Fusion SEL. Nothing will ever compare to the Ranger though :(",JLaVigne,48822575,,,,en,"Fairfax, VA",,12/10/2012 14:47,-77.3063733,38.8462236,4
1493,Washington_DC,278215068301287424,12/10/2012 19:10,Ford Fusion,Ford Fusion Recalled for Faulty Headlamp: The National Highway Traffic Safety Administration announced the numbe... http://t.co/paomv26v,gblawyers,45650602,,,,en,"Silver Spring, MD",,12/10/2012 14:10,-77.026088,38.9906657,4
1494,Washington_DC,278204012363407360,12/10/2012 18:26,Ford Fusion,"RT @davidshepardson: Ford says it has software fix for 2013 Escape, Fusion engine fire risks. Dealers will begin repairing vehicles next week",greenandwrite10,134990744,,,,en,,,12/10/2012 13:26,-69.6691186,-38.8233843,2
1495,Washington_DC,278200130929303552,12/10/2012 18:10,Ford Fusion,"RT @davidshepardson: Ford says it has software fix for 2013 Escape, Fusion engine fire risks. Dealers will begin repairing vehicles next week",MBurden_DN,37464438,,,,en,"Royal Oak, Michigan",,12/10/2012 13:10,-83.1446485,42.4894801,4
1496,Washington_DC,278197695477317633,12/10/2012 18:01,Ford Fusion,"Ford says it has software fix for 2013 Escape, Fusion engine fire risks. Dealers will begin repairing vehicles next week",davidshepardson,26283307,,,,en,"Washington, DC",,12/10/2012 13:01,-77.0363658,38.8951118,4
1497,Washington_DC,278192398570508289,12/10/2012 17:40,Ford Fusion,Looking for a #Honda #Accord alternative? Check out the #Ford Fusion: http://t.co/JoJ9c7ec,BeCarChic,104934701,,,,en,"Washington, D.C.",,12/10/2012 12:40,-77.0363658,38.8951118,4
1498,Washington_DC,278186132410343424,12/10/2012 17:15,Ford Fusion,Ford recalls the 2013 Fusion for the second time in a week http://t.co/M1RIrJNs,USNewsCars,78078340,,,,en,"Washington, DC",,12/10/2012 12:15,-77.0363658,38.8951118,4
1499,Washington_DC,277906164543533057,12/9/2012 22:42,Ford Fusion,@sfeuer Thats good. Our experience with Ford dealers so far has been less enjoyable (looking at a new Fusion hybrid),tbridge,11011,sfeuer,12078622,277906025636573184,en,,"38.932837, -76.981616",12/9/2012 17:42,-69.6691186,-38.8233843,2
1500,Washington_DC,277896864345509888,12/9/2012 22:05,Ford Fusion,Feature Cars 2013 - Ford Fusion NASCAR Sprint Cup Car: http://t.co/byR0N4Nt via @youtube,danwlawrence,261944846,,,,en,"Washington, DC",,12/9/2012 17:05,-77.0363658,38.8951118,4
