FID,location,
1478,"Washington, DC",
1479,Washington ,
1480,"Washington, D.C.",
1481,"Washington, D.C.",
1482,Arlington,
1483,"Fairfax, VA",
1484,Washington,
1485,"Alexandria, VA",
1486,"Washington, D.C. ",
1487,"Silver Spring, MD",
1488,Bethesda MD,
1489,"Fairfax, VA",
1490,"Alexandria, Va.",
1491,"Washington, D.C. ",
1492,"Fairfax, VA",
1493,"Silver Spring, MD",
1494,n/a,
1495,"Royal Oak, Michigan",
1496,"Washington, DC",
1497,"Washington, D.C.",
1498,"Washington, DC",
1499,n/a,
1500,"Washington, DC",
1501,laurel MD,
1502,"Washington, DC",
1503,"Seminary Valley, Virginia",
1504,"Washington, DC",
1505,GLOBAL BY WAY OF MANCHESTER UK,
1506,Georgia &amp The Twitterverse,
1507,"Atlanta, GA",
1508,"Washington, DC",
1509,"Silver Spring, MD",
1510,"Washington, D.C.",
1511,"Washington, DC",
1512,"Washington, DC",
1513,"Washington, DC",
1514,"Washington, DC",
1515,"Washington, D.C.",
1516,"Washington, D.C. ",
1517,Washington DC Metro,
1518,"Washington, DC",
1519,DC Metro area,
1520,"Silver Spring, MD",
1521,"Washington, DC",
1522,"Washington, DC",
1523,"Washington, DC",
1524,"??T: 38.930662,-77.225142",
1525,"Washington, D.C.",
1526,"Washington, DC",
1527,Dallas,
1528,"Washington, D.C.",
1529,"Washington, DC",
1530,"Washington, DC",
1531,"Silver Spring, MD",
1532,Washington,
1533,"Washington, D.C.",
1534,c~town,
1535,n/a,
1536,"Washington, D.C.",
1537,Fairfax,
1538,"Fort Washington, Maryland",
1539,"Reston, Virginia",
1540,Vermont,
3056,"New York, NY",
3057,"New York, NY",
3058,"Bronx, NY 10470",
3059,Indianapolis,
3060,"New York, Inna Yu Madda",
3061,"New York, New York",
3062,NYC ,
3063,"Dutton, Michigan",
3064,"New York, New York",
3065,New York,
3066,New York,
3067,"New York,  USA",
3068,"New York, NY",
3069,New York,
3070,"Bexley, Ohio USA",
3071,"Monterrey, Mexico",
3072,New York City,
3073,New York City,
3074,"??T: 40.856176,-73.872346",
3075,"??T: 40.754885,-73.975506",
3076,"Doha, Qatar",
3077,New York,
3078,"New York, NY",
3079,New York,
3080,New York,
3081,New York City,
3082,"New York, NY",
3083,"??T: 40.760428,-73.976293",
3084,"Jamaica, Queens",
3085,"New York, NY",
3086,"New York, NY",
3087,"New York, NY",
3088,NYC,
3089,NY,
3090,"New York, NY",
3091,"New York, NY",
3092,New York,
3093,"New York, New York",
3094,"New York, NY",
3095,New York,
3096,NOLA,
3097,New York City,
3098,Greater New York region,
3099,New York,
3100,New York,
3101,n/a,
3102,New York,
3103,New York,
3104,Wall St.,
3105,"New York, USA",
3106,New York,
3107,New York,
3108,New York,
3109,Boss city,
3110,"New York, NY",
3111,New York,
3112,New york,
3113,New York,
3114,"??T: 40.8418099,-73.9216081",
3115,NYC | Shanghai,
3116,"New York, NY",
3117,"New York, NY",
3118,New York,
3119,"New York City, USA",
3120,"??T: 40.871222,-73.841804",
3121,"OH, NY",
3122,NYC,
3123,New York,
3124,New York,
3125,New York,
3126,NY,
3127,NYC,
3128,New York,
3129,New York,
3130,NY,
3131,"New York, NY",
3132,"New York, USA",
3133,"New York, NY",
3134,New York City,
3135,"New York, NY",
3136,New York,
3137,n/a,
3138,New York,
3139,New York,
3140,New York City,
3141,"NY, America",
3142,New York,
3143,"Jamaica, Queens",
3144,"New York, NY",
3145,New York City,
3146,New York,
3147,"CD.NEZA,.BRONX NY,.HOUSTON,.",
3148,New York,
3149,"43.846532,-79.283183",
3150,New York,
3151,Michigan,
3152,"catalina foothills, az.",
3153,"New York, NY",
3154,"New York, NY",
3155,New York,
3156,"New York, NY",
3157,New York City,
3158,"New York City, NY",
3998,"burlington,ma",
3999,Boston,
4000,"Boston,Ma",
4001,"Boston, MA",
4002,Boston,
4003,"Boston,Ma",
4004,"Boston, MA",
4005,Boston Ma,
4006,Boston Ma,
4007,Boston Ma,
4008,"Boston, MA",
4009,"Milton, MA",
4010,"Weymouth, MA",
4011,Boston,
4012,"Boston,Ma",
4013,"Boston, MA",
4014,"Walpole, MA",
4015,"Boston, MA",
4016,"Boston, MA",
4017,"Boston,usa",
4018,"Boston,Ma",
4019,"Boston, Dedham, MA",
4020,"Boston,Ma",
4021,"iPhone: 42.341812,-71.077438",
4022,"Boston,Ma",
4023,"Boston, MA",
4024,"Boston, MA",
4025,"Boston, MA",
4026,Cambridge ,
4027,"Walpole, MA",
4028,"Boston, Dedham, MA",
4029,Cambridge MA,
4030,"Boston,Ma",
4031,"Cambridge, MA",
4032,"burlington,ma",
4033,"Wellesley, MA",
4034,"Wellesley, MA",
4035,Boston Ma,
4036,"Watertown, MA",
4037,Boston Ma,
4038,Waltham Ma,
4039,"Wellesley, MA",
4040,"Wellesley, MA",
4041,"Needham, MA",
4042,"Wellesley, MA",
4043,"Wellesley, MA",
4044,BOSTON ,
4045,"Brookline, MA",
4046,"Burlington, Ma",
4047,"Boston, MA",
4048,"Watertown, MA",
4049,"Boston,Ma",
4050,"Norwood, MA",
4051,"Boston,Ma",
4052,"burlington,ma",
5015,Chicago ,
5016,Chicago,
5017,n/a,
5018,n/a,
5019,"Chicago, Illinois",
5020,Chicago,
5021,"Chicago, IL",
5022,"Chicago, IL",
5023,Chicago,
5024,"Chicago, IL",
5025,Metro Chicago,
5026,Chicago,
5027,Chicago,
5028,Chicago,
5029,Chicago IL,
5030,"Chicago, IL",
5031,Chicago,
5032,Chicago,
5033,Chicago,
5034,Metro Chicago,
5035,Chicago,
5036,"Chicago, IL",
5037,"Chicago, IL",
5038,Chicago IL,
5039,Chicago IL,
5040,Chicago,
5041,Chicago,
5042,Metro Chicago,
5043,Metro Chicago,
5044,"Chicago, IL",
5045,"Chicago, Illinois",
5046,Chicago ,
5047,"Plano, TX",
5048,Chicago ,
5049,"Appleton, WI",
5050,"Palo Alto, CA",
5051,nanaimo/courtenay bc ,
5052,Metro Chicago,
5053,Chicago,
5054,nanaimo/courtenay bc ,
5055,nanaimo/courtenay bc ,
5056,n/a,
5057,Chicago,
5058,"Buffalo, NY",
5059,The Motor City,
5060,Chicago,
5061,USA,
5062,"Chicago, IL",
5063,"Bend, OR",
5064,"25 ave , Illnois 60625 Chicago",
5065,Chicago,
5066,n/a,
5067,"Ann Arbor, Michigan",
5068,"Chicago, IL",
5069,"Chicago, IL",
5070,"New York, NY",
6580,Los Angeles,
6581,"Los Angeles, CA",
6582,"LA, USA",
6583,Los Angeles,
6584,"Downtown Los Angeles, CA",
6585,"LA, California",
6586,"Los Angeles, CA",
6587,"PASADENA, CA (Dena baby!)",
6588,"Los Angeles, CA",
6589,"PASADENA, CA (Dena baby!)",
6590,n/a,
6591,"Ann Arbor, Michigan",
6592,"Los Angeles, CA",
6593,Los Angeles,
6594,"Pasadena, CA",
6595,"??T: 34.042719,-118.258444",
6596,"Maryland, USA",
6597,"Doha, Qatar",
6598,n/a,
6599,"Los Angeles, CA",
6600,"Los Angeles, CA",
6601,Los Angeles,
6602,"Los Angeles, CA",
6603,"Los Angeles, CA",
6604,"Los Angeles, CA",
6605,Los Angeles,
6606,Los Angeles,
6607,Where Uncle Sam wants me,
6608,"Downtown Los Angeles, CA",
6609,"Palo Alto, CA",
6610,"Los Angeles, CA",
6611,"Los Angeles, CA",
6612,Santa Monica,
6613,"Los Angeles, California",
6614,"Pasadena, CA",
6615,19701 Sherman Way,
6616,"Los Angeles, CA",
6617,n/a,
6618,"Seattle, WA",
6619,"Los Angeles, CA ",
6620,"Los Angeles, CA ",
6621,"Los Angeles, ca",
6622,"Pasadena, CA",
6623,n/a,
6624,Los Angeles,
6625,"Santa Monica, CA",
6626,n/a,
6627,"Saint Augustine, FL",
6628,Los Angeles,
6629,SC,
6630,NEW YORK CITY,
6631,"chicago,il ",
6632,Ecuador,
6633,"Richmond, Virginia",
6634,"Los Angeles, CA",
6635,"Los Angeles, CA USA",
6636,Los Angeles,
6637,Los Angeles,
6638,"Los Angeles, CA",
6639,"34.22186,-118.470921",
6640,"Los Angeles, CA, USA",
6641,Los Angeles,
6642,"Los Angeles, California ",
6643,"Los Angeles, CA",
6644,"Los Angeles, CA",
6645,"Los Angeles, CA",
6646,Los Angeles,
6647,"Palo Alto, CA",
6648,"Los Angeles, CA",
6649,"Los Angeles, CA",
6650,"Downtown Los Angeles, CA",
6651,"Pasadena, CA",
6652,Los Angeles,
6653,Los Feliz,
6654,"Los Angeles, CA",
6655,"Los Angeles, CA",
6656,"Los Angeles, CA",
6657,Maryland,
6658,"Los Angeles, CA",
6659,"State College, Pennsylvania",
6660,"Beverly Trills, CA",
6661,"Beverly Hills, CA",
6662,"West Hollywood, CA",
6663,"Los Angeles, CA",
6664,"Los Angeles, California",
6665,Los Angeles,
6666,Los Angeles,
6667,"El Segundo, CA",
6668,"Los Angeles, CA",
6669,"Los Angeles, CA",
6670,"Los Angeles, California",
6671,"Los Angeles, CA",
6672,"Los Angeles, California",
6673,n/a,
6674,Los Angeles,
6675,"Belleville, Ontario",
6676,Los Angeles,
6677,Hawthorne,
6678,Los Angeles,
6679,n/a,
6680,UK,
6681,"Manhattan Beach, CA",
6682,"Los Angeles, CA",
6683,"Los Angeles, CA",
6684,"Los Angeles, CA",
6685,"Los Angeles, CA",
6686,UK,
6687,CA,
6688,"Downtown Los Angeles, CA",
6689,"Palo Alto, CA",
6690,"Canoga Park, California",
6691,"Los Angeles, CA",
6692,Los Angeles,
6693,Los Angeles,
6694,Los Angeles,
6695,"Los Angeles, CA ",
6696,Los Angeles,
6697,"El Segundo, CA",
6698,"Santa Monica, CA",
6699,"Pasadena, CA",
6700,"El Segundo, CA",
6701,"Santa Monica, CA",
6702,"Los Angeles, CA",
6703,"Los Angeles, CA",
6704,"LOS ANGELES, CA ",
6705,"Pasadena, CA",
6706,Los Angeles,
6707,n/a,
6708,"Pasadena, CA",
6709,"Los Angeles, CA",
6710,Los Angeles,
6711,"Los Angeles, CA ",
6712,"LA, California",
6713,"Pasadena, CA",
6714,Los Angeles,
6715,"Los Angeles, CA",
6716,"Los Angeles, CA",
6717,"Los Angeles, CA",
6718,Houston / Phoenix  ,
6719,"Los Angeles, CA",
6720,"Montreal,Quebec,Canada",
6721,n/a,
6722,"Los Angeles, CA",
6723,n/a,
6724,n/a,
6725,Cologne/Germany,
6726,NY/ DF / OAXACA,
6727,"Lynwood, CA",
6728,n/a,
6729,"Palo Alto, CA",
6730,"Phoenix, Arizona USA",
6731,Los Angeles ,
6732,elmira new york,
6733,n/a,
7792,San Francisco,
7793,"Berkeley, CA",
