fid	location	lng	lat	accuracy
1478	"Washington, DC"	-77.0363658	38.8951118	4
1479	Washington 	-77.0363658	38.8951118	4
1480	"Washington, D.C."	-77.0363658	38.8951118	4
1481	"Washington, D.C."	-77.0363658	38.8951118	4
1482	Arlington	-97.1080656	32.735687	4
1483	"Fairfax, VA"	-77.3063733	38.8462236	4
1484	Washington	-77.0363658	38.8951118	4
1485	"Alexandria, VA"	-77.0469214	38.8048355	4
1486	"Washington, D.C. "	-77.0363658	38.8951118	4
1487	"Silver Spring, MD"	-77.026088	38.9906657	4
1488	Bethesda MD	-77.0947092	38.984652	4
1489	"Fairfax, VA"	-77.3063733	38.8462236	4
1490	"Alexandria, Va."	-77.0469214	38.8048355	4
1491	"Washington, D.C. "	-77.0363658	38.8951118	4
1492	"Fairfax, VA"	-77.3063733	38.8462236	4
1493	"Silver Spring, MD"	-77.026088	38.9906657	4
1494	n/a	-69.6691186	-38.8233843	2
1495	"Royal Oak, Michigan"	-83.1446485	42.4894801	4
1496	"Washington, DC"	-77.0363658	38.8951118	4
1497	"Washington, D.C."	-77.0363658	38.8951118	4
1498	"Washington, DC"	-77.0363658	38.8951118	4
1499	n/a	-69.6691186	-38.8233843	2
1500	"Washington, DC"	-77.0363658	38.8951118	4
1501	laurel MD	-76.8483061	39.0992752	4
1502	"Washington, DC"	-77.0363658	38.8951118	4
1503	"Seminary Valley, Virginia"	-77.1174791	38.8184463	5
1504	"Washington, DC"	-77.0363658	38.8951118	4
1505	GLOBAL BY WAY OF MANCHESTER UK	0	0	0
1506	Georgia &amp The Twitterverse	-82.907123	32.1574351	2
1507	"Atlanta, GA"	-84.3879824	33.7489954	4
1508	"Washington, DC"	-77.0363658	38.8951118	4
1509	"Silver Spring, MD"	-77.026088	38.9906657	4
1510	"Washington, D.C."	-77.0363658	38.8951118	4
1511	"Washington, DC"	-77.0363658	38.8951118	4
1512	"Washington, DC"	-77.0363658	38.8951118	4
1513	"Washington, DC"	-77.0363658	38.8951118	4
1514	"Washington, DC"	-77.0363658	38.8951118	4
1515	"Washington, D.C."	-77.0363658	38.8951118	4
1516	"Washington, D.C. "	-77.0363658	38.8951118	4
1517	Washington DC Metro	-77.0363658	38.8951118	4
1518	"Washington, DC"	-77.0363658	38.8951118	4
1519	DC Metro area	-77.0363658	38.8951118	4
1520	"Silver Spring, MD"	-77.026088	38.9906657	4
1521	"Washington, DC"	-77.0363658	38.8951118	4
1522	"Washington, DC"	-77.0363658	38.8951118	4
1523	"Washington, DC"	-77.0363658	38.8951118	4
1524	"??T: 38.930662,-77.225142"	15.4961454	49.7338986	6
1525	"Washington, D.C."	-77.0363658	38.8951118	4
1526	"Washington, DC"	-77.0363658	38.8951118	4
1527	Dallas	-96.8004511	32.7801399	4
1528	"Washington, D.C."	-77.0363658	38.8951118	4
1529	"Washington, DC"	-77.0363658	38.8951118	4
1530	"Washington, DC"	-77.0363658	38.8951118	4
1531	"Silver Spring, MD"	-77.026088	38.9906657	4
1532	Washington	0	0	0
